BUREAU_DE_VOTE,IDBUREAU,INSCRITS,PROCURATIONS,VOTANTS,NULS,EXPRIMES,FOURAGE,COMBARNOUS,AYRAULT,BREUS,BLINEAU,JOZAN,DEFRANCE,FOURAGE_P,COMBARNOUS_P,AYRAULT_P,BREUS_P,BLINEAU_P,JOZAN_P,DEFRANCE_P
 0101 - Bureau de vote 0101,0101,1035,16,426,8,418,19,20,206,4,29,134,6,4.5454545455,4.7846889952,49.2822966507,0.956937799,6.9377990431,32.0574162679,1.4354066986
 0102 - Bureau de vote 0102,0102,1270,22,666,16,650,28,17,321,5,56,219,4,4.3076923077,2.6153846154,49.3846153846,0.7692307692,8.6153846154,33.6923076923,0.6153846154
 0103 - Bureau de vote 0103,0103,801,25,492,13,479,22,18,216,1,41,175,6,4.5929018789,3.75782881,45.0939457203,0.2087682672,8.5594989562,36.5344467641,1.2526096033
 0104 - Bureau de vote 0104,0104,1094,7,574,6,568,37,25,313,5,36,146,6,6.514084507,4.4014084507,55.1056338028,0.8802816901,6.338028169,25.7042253521,1.0563380282
 0105 - Bureau de vote 0105,0105,939,12,507,9,498,29,23,231,4,45,161,5,5.8232931727,4.6184738956,46.3855421687,0.8032128514,9.0361445783,32.3293172691,1.0040160643
 0106 - Bureau de vote 0106,0106,710,25,476,4,472,12,7,199,2,37,212,3,2.5423728814,1.4830508475,42.1610169492,0.4237288136,7.8389830508,44.9152542373,0.6355932203
 0107 - Bureau de vote 0107,0107,760,16,466,9,457,23,12,219,3,35,159,6,5.0328227571,2.6258205689,47.9212253829,0.6564551422,7.658643326,34.7921225383,1.3129102845
 0108 - Bureau de vote 0108,0108,627,6,373,5,368,17,5,220,5,16,103,2,4.6195652174,1.3586956522,59.7826086957,1.3586956522,4.347826087,27.9891304348,0.5434782609
 0109 - Bureau de vote 0109,0109,665,8,409,7,402,19,5,204,3,44,122,5,4.7263681592,1.2437810945,50.7462686567,0.7462686567,10.9452736318,30.3482587065,1.2437810945
 0110 - Bureau de vote 0110,0110,711,15,436,8,428,18,3,230,6,30,140,1,4.2056074766,0.7009345794,53.738317757,1.4018691589,7.0093457944,32.7102803738,0.2336448598
 0111 - Bureau de vote 0111,0111,618,11,381,5,376,15,5,168,2,21,164,1,3.9893617021,1.329787234,44.6808510638,0.5319148936,5.585106383,43.6170212766,0.2659574468
 0112 - Bureau de vote 0112,0112,842,12,532,9,523,14,7,195,3,49,251,4,2.6768642447,1.3384321224,37.2848948375,0.5736137667,9.3690248566,47.9923518164,0.7648183556
 0113 - Bureau de vote 0113,0113,900,25,507,8,499,11,10,174,5,31,259,9,2.2044088176,2.004008016,34.869739479,1.002004008,6.2124248497,51.9038076152,1.8036072144
 0114 - Bureau de vote 0114,0114,666,16,387,6,381,13,6,157,2,39,162,2,3.4120734908,1.5748031496,41.2073490814,0.5249343832,10.2362204724,42.5196850394,0.5249343832
 0115 - Bureau de vote 0115,0115,801,19,512,15,497,13,3,209,3,40,227,2,2.615694165,0.6036217304,42.0523138833,0.6036217304,8.0482897384,45.6740442656,0.4024144869
 0116 - Bureau de vote 0116,0116,843,11,479,8,471,7,12,186,3,47,213,3,1.4861995754,2.5477707006,39.4904458599,0.6369426752,9.9787685775,45.2229299363,0.6369426752
 0117 - Bureau de vote 0117,0117,878,13,536,14,522,16,4,261,5,35,196,5,3.0651340996,0.7662835249,50,0.9578544061,6.7049808429,37.5478927203,0.9578544061
 0118 - Bureau de vote 0118,0118,720,9,433,9,424,14,12,228,6,22,136,6,3.3018867925,2.8301886792,53.7735849057,1.4150943396,5.1886792453,32.0754716981,1.4150943396
 0119 - Bureau de vote 0119,0119,801,8,444,5,439,15,11,223,4,43,136,7,3.416856492,2.5056947608,50.7972665148,0.9111617312,9.7949886105,30.979498861,1.5945330296
 0120 - Bureau de vote 0120,0120,675,11,376,4,372,12,5,173,5,28,148,1,3.2258064516,1.3440860215,46.5053763441,1.3440860215,7.5268817204,39.7849462366,0.2688172043
 0121 - Bureau de vote 0121,0121,1030,18,628,12,616,15,7,266,4,47,268,9,2.4350649351,1.1363636364,43.1818181818,0.6493506494,7.6298701299,43.5064935065,1.461038961
 0201 - Bureau de vote 0201,0201,1091,14,614,5,609,27,9,276,6,50,237,4,4.4334975369,1.4778325123,45.3201970443,0.9852216749,8.210180624,38.9162561576,0.6568144499
 0202 - Bureau de vote 0202,0202,798,23,416,10,406,12,17,185,4,16,169,3,2.9556650246,4.1871921182,45.5665024631,0.9852216749,3.9408866995,41.6256157635,0.7389162562
 0203 - Bureau de vote 0203,0203,1201,0,666,15,651,30,30,324,8,31,223,5,4.6082949309,4.6082949309,49.7695852535,1.2288786482,4.7619047619,34.2549923195,0.7680491551
 0204 - Bureau de vote 0204,0204,962,26,561,5,556,22,23,267,3,33,196,12,3.9568345324,4.1366906475,48.0215827338,0.5395683453,5.9352517986,35.2517985612,2.1582733813
 0205 - Bureau de vote 0205,0205,1094,19,613,18,595,18,22,259,4,54,230,8,3.025210084,3.6974789916,43.5294117647,0.6722689076,9.0756302521,38.6554621849,1.3445378151
 0206 - Bureau de vote 0206,0206,838,14,478,7,471,19,27,220,1,31,166,7,4.033970276,5.7324840764,46.7091295117,0.2123142251,6.5817409766,35.2441613588,1.4861995754
 0207 - Bureau de vote 0207,0207,867,30,511,10,501,18,4,205,2,25,242,5,3.5928143713,0.7984031936,40.9181636727,0.3992015968,4.9900199601,48.3033932136,0.998003992
 0208 - Bureau de vote 0208,0208,768,23,447,4,443,17,13,194,3,34,180,2,3.8374717833,2.934537246,43.7923250564,0.6772009029,7.6749435666,40.6320541761,0.4514672686
 0209 - Bureau de vote 0209,0209,751,14,493,4,489,14,10,248,3,38,169,7,2.8629856851,2.0449897751,50.7157464213,0.6134969325,7.7709611452,34.5603271984,1.4314928425
 0210 - Bureau de vote 0210,0210,767,11,438,5,433,8,6,222,0,37,154,6,1.8475750577,1.3856812933,51.2702078522,0,8.545034642,35.5658198614,1.3856812933
 0211 - Bureau de vote 0211,0211,804,17,407,15,392,17,9,144,3,25,189,5,4.3367346939,2.2959183673,36.7346938776,0.7653061224,6.3775510204,48.2142857143,1.2755102041
 0212 - Bureau de vote 0212,0212,888,21,502,9,493,6,4,213,1,50,216,3,1.2170385396,0.8113590264,43.2048681542,0.2028397566,10.1419878296,43.8133874239,0.6085192698
 0213 - Bureau de vote 0213,0213,764,9,484,8,476,14,12,261,3,28,153,5,2.9411764706,2.5210084034,54.8319327731,0.6302521008,5.8823529412,32.1428571429,1.0504201681
 0214 - Bureau de vote 0214,0214,783,7,433,2,431,12,8,260,2,24,118,7,2.7842227378,1.8561484919,60.3248259861,0.464037123,5.5684454756,27.3781902552,1.6241299304
 0215 - Bureau de vote 0215,0215,668,7,421,7,414,22,5,244,7,22,106,8,5.3140096618,1.2077294686,58.9371980676,1.690821256,5.3140096618,25.6038647343,1.9323671498
 0216 - Bureau de vote 0216,0216,952,13,489,15,474,26,12,279,3,27,120,7,5.4852320675,2.5316455696,58.8607594937,0.6329113924,5.6962025316,25.3164556962,1.4767932489
 0217 - Bureau de vote 0217,0217,811,12,499,12,487,17,11,267,7,44,138,3,3.4907597536,2.2587268994,54.8254620123,1.4373716632,9.0349075975,28.3367556468,0.6160164271
 0218 - Bureau de vote 0218,0218,871,13,541,11,530,12,7,325,10,41,130,5,2.2641509434,1.320754717,61.320754717,1.8867924528,7.7358490566,24.5283018868,0.9433962264
 0219 - Bureau de vote 0219,0219,1174,10,557,11,546,20,6,319,6,37,136,22,3.663003663,1.0989010989,58.4249084249,1.0989010989,6.7765567766,24.9084249084,4.0293040293
 0220 - Bureau de vote 0220,0220,934,6,412,10,402,15,5,334,6,16,20,6,3.7313432836,1.2437810945,83.0845771144,1.4925373134,3.9800995025,4.9751243781,1.4925373134
 0221 - Bureau de vote 0221,0221,1103,6,463,7,456,18,5,346,4,16,62,5,3.9473684211,1.0964912281,75.8771929825,0.8771929825,3.5087719298,13.5964912281,1.0964912281
 0222 - Bureau de vote 0222,0222,838,12,432,3,429,24,21,237,1,22,117,7,5.5944055944,4.8951048951,55.2447552448,0.2331002331,5.1282051282,27.2727272727,1.6317016317
 0223 - Bureau de vote 0223,0223,1063,7,572,9,563,34,17,337,6,29,122,18,6.0390763766,3.0195381883,59.8579040853,1.0657193606,5.1509769094,21.6696269982,3.1971580817
 0224 - Bureau de vote 0224,0224,844,13,438,8,430,25,20,261,5,21,86,12,5.8139534884,4.6511627907,60.6976744186,1.1627906977,4.8837209302,20,2.7906976744
 0301 - Bureau de vote 0301,0301,824,11,422,5,417,34,16,227,4,24,107,5,8.1534772182,3.8369304556,54.4364508393,0.9592326139,5.7553956835,25.6594724221,1.1990407674
 0302 - Bureau de vote 0302,0302,809,16,358,8,350,20,36,187,4,27,71,5,5.7142857143,10.2857142857,53.4285714286,1.1428571429,7.7142857143,20.2857142857,1.4285714286
 0303 - Bureau de vote 0303,0303,812,8,421,12,409,21,22,217,1,28,117,3,5.1344743276,5.3789731051,53.0562347188,0.2444987775,6.8459657702,28.6063569682,0.7334963325
 0304 - Bureau de vote 0304,0304,677,11,360,4,356,13,30,175,3,23,106,6,3.6516853933,8.4269662921,49.1573033708,0.8426966292,6.4606741573,29.7752808989,1.6853932584
 0305 - Bureau de vote 0305,0305,731,7,363,8,355,17,14,173,1,25,124,1,4.7887323944,3.9436619718,48.7323943662,0.2816901408,7.0422535211,34.9295774648,0.2816901408
 0306 - Bureau de vote 0306,0306,971,23,510,5,505,13,15,217,4,33,223,0,2.5742574257,2.9702970297,42.9702970297,0.7920792079,6.5346534653,44.1584158416,0
 0307 - Bureau de vote 0307,0307,845,9,483,4,479,21,13,229,5,30,177,4,4.3841336117,2.7139874739,47.8079331942,1.0438413361,6.2630480167,36.9519832985,0.8350730689
 0308 - Bureau de vote 0308,0308,1120,4,566,6,560,30,46,317,8,52,95,12,5.3571428571,8.2142857143,56.6071428571,1.4285714286,9.2857142857,16.9642857143,2.1428571429
 0309 - Bureau de vote 0309,0309,801,21,425,2,423,14,21,221,0,23,140,4,3.3096926714,4.9645390071,52.2458628842,0,5.4373522459,33.0969267139,0.9456264775
 0310 - Bureau de vote 0310,0310,1041,9,541,5,536,20,17,334,4,29,122,10,3.7313432836,3.171641791,62.3134328358,0.7462686567,5.4104477612,22.7611940299,1.8656716418
 0311 - Bureau de vote 0311,0311,881,4,436,16,420,9,6,285,4,20,87,9,2.1428571429,1.4285714286,67.8571428571,0.9523809524,4.7619047619,20.7142857143,2.1428571429
 0312 - Bureau de vote 0312,0312,925,13,557,15,542,19,10,311,5,33,155,9,3.5055350554,1.8450184502,57.3800738007,0.9225092251,6.0885608856,28.5977859779,1.6605166052
 0313 - Bureau de vote 0313,0313,820,6,463,6,457,15,4,262,8,32,127,9,3.2822757112,0.875273523,57.3304157549,1.750547046,7.0021881838,27.7899343545,1.9693654267
 0314 - Bureau de vote 0314,0314,828,10,473,8,465,16,7,278,0,19,133,12,3.4408602151,1.5053763441,59.7849462366,0,4.0860215054,28.6021505376,2.5806451613
 0315 - Bureau de vote 0315,0315,919,5,424,5,419,20,8,250,5,20,103,13,4.7732696897,1.9093078759,59.6658711217,1.1933174224,4.7732696897,24.5823389021,3.1026252983
 0316 - Bureau de vote 0316,0316,800,10,425,9,416,20,11,245,2,34,96,8,4.8076923077,2.6442307692,58.8942307692,0.4807692308,8.1730769231,23.0769230769,1.9230769231
 0317 - Bureau de vote 0317,0317,767,3,400,8,392,27,7,270,4,20,53,11,6.887755102,1.7857142857,68.8775510204,1.0204081633,5.1020408163,13.5204081633,2.806122449
 0318 - Bureau de vote 0318,0318,638,3,301,0,301,22,9,191,4,16,50,9,7.3089700997,2.9900332226,63.4551495017,1.3289036545,5.3156146179,16.6112956811,2.9900332226
 0319 - Bureau de vote 0319,0319,1187,9,515,14,501,29,16,346,5,26,67,12,5.7884231537,3.1936127745,69.0618762475,0.998003992,5.1896207585,13.373253493,2.3952095808
 0320 - Bureau de vote 0320,0320,838,7,375,5,370,29,30,225,4,18,57,7,7.8378378378,8.1081081081,60.8108108108,1.0810810811,4.8648648649,15.4054054054,1.8918918919
 0321 - Bureau de vote 0321,0321,910,7,411,10,401,18,6,242,7,35,82,11,4.4887780549,1.4962593516,60.349127182,1.7456359102,8.7281795511,20.4488778055,2.7431421446
 0401 - Bureau de vote 0401,0401,832,12,399,6,393,17,9,155,1,36,171,4,4.3256997455,2.2900763359,39.4402035623,0.2544529262,9.1603053435,43.5114503817,1.0178117048
 0402 - Bureau de vote 0402,0402,851,27,492,11,481,6,11,144,1,32,283,4,1.2474012474,2.2869022869,29.9376299376,0.2079002079,6.6528066528,58.8357588358,0.8316008316
 0403 - Bureau de vote 0403,0403,887,23,516,18,498,19,6,145,2,30,291,5,3.8152610442,1.2048192771,29.1164658635,0.4016064257,6.0240963855,58.4337349398,1.0040160643
 0404 - Bureau de vote 0404,0404,903,28,531,15,516,17,6,162,3,33,290,5,3.2945736434,1.1627906977,31.3953488372,0.5813953488,6.3953488372,56.2015503876,0.9689922481
 0405 - Bureau de vote 0405,0405,1153,40,655,16,639,4,9,179,4,45,395,3,0.6259780908,1.4084507042,28.0125195618,0.6259780908,7.0422535211,61.8153364632,0.4694835681
 0406 - Bureau de vote 0406,0406,812,7,439,11,428,8,8,115,3,35,254,5,1.8691588785,1.8691588785,26.8691588785,0.7009345794,8.1775700935,59.3457943925,1.1682242991
 0407 - Bureau de vote 0407,0407,1076,5,608,9,599,25,13,338,6,37,176,4,4.1736227045,2.1702838063,56.4273789649,1.0016694491,6.1769616027,29.3823038397,0.6677796327
 0408 - Bureau de vote 0408,0408,1142,26,640,15,625,22,9,348,4,28,203,11,3.52,1.44,55.68,0.64,4.48,32.48,1.76
 0409 - Bureau de vote 0409,0409,954,17,556,4,552,12,8,232,5,48,244,3,2.1739130435,1.4492753623,42.0289855072,0.9057971014,8.6956521739,44.2028985507,0.5434782609
 0410 - Bureau de vote 0410,0410,883,15,500,8,492,24,3,280,2,36,143,4,4.8780487805,0.6097560976,56.9105691057,0.406504065,7.3170731707,29.0650406504,0.8130081301
 0411 - Bureau de vote 0411,0411,938,23,570,8,562,16,7,218,2,34,285,0,2.846975089,1.2455516014,38.7900355872,0.3558718861,6.0498220641,50.7117437722,0
 0412 - Bureau de vote 0412,0412,905,8,537,11,526,10,4,241,7,40,219,5,1.9011406844,0.7604562738,45.8174904943,1.3307984791,7.6045627376,41.6349809886,0.9505703422
 0413 - Bureau de vote 0413,0413,1037,39,611,13,598,13,9,280,2,41,251,2,2.1739130435,1.5050167224,46.8227424749,0.3344481605,6.856187291,41.9732441472,0.3344481605
 0414 - Bureau de vote 0414,0414,955,17,562,5,557,9,5,183,5,57,290,8,1.6157989228,0.8976660682,32.8545780969,0.8976660682,10.2333931777,52.0646319569,1.4362657092
 0415 - Bureau de vote 0415,0415,1031,29,599,12,587,6,7,139,1,38,396,0,1.0221465077,1.1925042589,23.6797274276,0.1703577513,6.4735945486,67.461669506,0
 0416 - Bureau de vote 0416,0416,961,14,473,5,468,9,14,139,1,44,258,3,1.9230769231,2.9914529915,29.7008547009,0.2136752137,9.4017094017,55.1282051282,0.641025641
 0417 - Bureau de vote 0417,0417,1004,19,567,6,561,8,9,271,4,32,233,4,1.4260249554,1.6042780749,48.3065953654,0.7130124777,5.7040998217,41.5329768271,0.7130124777
 0418 - Bureau de vote 0418,0418,792,14,460,6,454,13,13,170,6,37,209,6,2.8634361233,2.8634361233,37.4449339207,1.3215859031,8.1497797357,46.0352422907,1.3215859031
 0419 - Bureau de vote 0419,0419,1396,20,713,21,692,37,11,344,4,55,232,9,5.3468208092,1.5895953757,49.710982659,0.5780346821,7.9479768786,33.5260115607,1.3005780347
 0420 - Bureau de vote 0420,0420,914,17,515,11,504,11,11,165,5,36,275,1,2.1825396825,2.1825396825,32.7380952381,0.9920634921,7.1428571429,54.5634920635,0.1984126984
 0421 - Bureau de vote 0421,0421,1012,36,574,13,561,11,19,243,1,29,253,5,1.9607843137,3.3868092692,43.3155080214,0.1782531194,5.1693404635,45.0980392157,0.8912655971
 0422 - Bureau de vote 0422,0422,910,12,456,8,448,16,13,231,3,30,149,6,3.5714285714,2.9017857143,51.5625,0.6696428571,6.6964285714,33.2589285714,1.3392857143
 0423 - Bureau de vote 0423,0423,909,7,440,11,429,21,9,277,4,40,73,5,4.8951048951,2.0979020979,64.5687645688,0.9324009324,9.324009324,17.0163170163,1.1655011655
 0501 - Bureau de vote 0501,0501,1040,11,620,11,609,30,12,339,5,58,160,5,4.9261083744,1.9704433498,55.6650246305,0.8210180624,9.5238095238,26.2725779967,0.8210180624
 0502 - Bureau de vote 0502,0502,816,14,496,4,492,31,5,311,5,26,104,10,6.3008130081,1.0162601626,63.2113821138,1.0162601626,5.2845528455,21.1382113821,2.0325203252
 0503 - Bureau de vote 0503,0503,949,11,578,6,572,22,23,340,2,43,126,16,3.8461538462,4.020979021,59.4405594406,0.3496503497,7.5174825175,22.027972028,2.7972027972
 0504 - Bureau de vote 0504,0504,1008,6,610,10,600,20,15,389,3,35,121,17,3.3333333333,2.5,64.8333333333,0.5,5.8333333333,20.1666666667,2.8333333333
 0505 - Bureau de vote 0505,0505,963,4,609,8,601,21,15,366,6,39,144,10,3.4941763727,2.4958402662,60.8985024958,0.9983361065,6.4891846922,23.9600665557,1.6638935108
 0506 - Bureau de vote 0506,0506,975,12,501,10,491,19,5,346,7,20,83,11,3.8696537678,1.0183299389,70.4684317719,1.4256619145,4.0733197556,16.9042769857,2.2403258656
 0507 - Bureau de vote 0507,0507,936,13,607,6,601,34,18,361,2,21,158,7,5.6572379368,2.9950083195,60.0665557404,0.3327787022,3.4941763727,26.2895174709,1.1647254576
 0508 - Bureau de vote 0508,0508,818,10,423,13,410,14,8,283,3,15,81,6,3.4146341463,1.9512195122,69.0243902439,0.7317073171,3.6585365854,19.756097561,1.4634146341
 0509 - Bureau de vote 0509,0509,967,11,544,5,539,21,20,267,3,40,181,7,3.8961038961,3.7105751391,49.5361781076,0.5565862709,7.4211502783,33.5807050093,1.2987012987
 0510 - Bureau de vote 0510,0510,1200,19,659,8,651,39,12,400,5,44,141,10,5.9907834101,1.8433179724,61.4439324117,0.7680491551,6.7588325653,21.6589861751,1.5360983103
 0511 - Bureau de vote 0511,0511,1177,8,597,12,585,45,9,381,13,12,120,5,7.6923076923,1.5384615385,65.1282051282,2.2222222222,2.0512820513,20.5128205128,0.8547008547
 0512 - Bureau de vote 0512,0512,766,5,455,6,449,25,10,306,5,18,81,4,5.5679287305,2.2271714922,68.1514476615,1.1135857461,4.008908686,18.0400890869,0.8908685969
 0513 - Bureau de vote 0513,0513,902,4,478,4,474,21,11,343,4,14,71,10,4.4303797468,2.3206751055,72.3628691983,0.8438818565,2.9535864979,14.9789029536,2.1097046414
 0514 - Bureau de vote 0514,0514,807,4,339,7,332,21,1,221,7,13,61,8,6.3253012048,0.3012048193,66.5662650602,2.1084337349,3.9156626506,18.3734939759,2.4096385542
